,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc693,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,3
Doc694,0.18,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.15,0.25,4
Doc695,0.14,0.01,0.01,0.01,0.01,0.51,0.01,0.14,0.01,0.14,5
Doc696,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc697,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc698,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc699,0.02,0.02,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.22,3
Doc700,0.02,0.02,0.42,0.02,0.02,0.22,0.02,0.02,0.02,0.22,2
Doc701,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc702,0.02,0.37,0.02,0.02,0.35,0.02,0.02,0.02,0.16,0.02,1
Doc703,0.03,0.46,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,1
Doc704,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc705,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc706,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc707,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc708,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.66,9
Doc709,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.42,5
Doc710,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,0.03,0.03,7
Doc711,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.27,0.03,6
Doc712,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc713,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc714,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc715,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.47,0.33,8
Doc716,0.02,0.18,0.02,0.18,0.02,0.02,0.02,0.52,0.02,0.02,7
Doc717,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc718,0.3,0.01,0.16,0.01,0.26,0.01,0.01,0.2,0.01,0.01,0
Doc719,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc720,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.27,0.03,7
Doc721,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc722,0.18,0.18,0.02,0.35,0.02,0.02,0.02,0.18,0.02,0.02,3
Doc723,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.34,0.22,0.3,7
Doc724,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc725,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.48,0.02,8
Doc726,0.01,0.01,0.01,0.01,0.01,0.3,0.3,0.01,0.3,0.01,5
Doc727,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc728,0.02,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc729,0.03,0.03,0.3,0.03,0.03,0.03,0.03,0.03,0.03,0.5,9
Doc730,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc731,0.03,0.27,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,1
Doc732,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc733,0.18,0.18,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc734,0.02,0.35,0.02,0.35,0.18,0.02,0.02,0.02,0.02,0.02,1
Doc735,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc736,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc737,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc738,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,5
Doc739,0.03,0.03,0.52,0.03,0.27,0.03,0.03,0.03,0.03,0.03,2
Doc740,0.52,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc741,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc742,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc743,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc744,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc745,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc746,0.03,0.26,0.29,0.03,0.28,0.03,0.03,0.03,0.03,0.03,2
Doc747,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.42,0.03,0.38,7
Doc748,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc749,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.34,0.18,0
Doc750,0.03,0.52,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,1
Doc751,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc752,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc753,0.14,0.15,0.01,0.38,0.01,0.01,0.14,0.13,0.01,0.01,3
Doc754,0.01,0.01,0.42,0.15,0.01,0.01,0.01,0.01,0.34,0.01,2
Doc755,0.02,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc756,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc757,0.39,0.03,0.03,0.03,0.03,0.35,0.03,0.03,0.03,0.03,0
Doc758,0.03,0.03,0.03,0.03,0.53,0.27,0.03,0.03,0.03,0.03,4
Doc759,0.02,0.02,0.68,0.02,0.02,0.02,0.18,0.02,0.02,0.02,2
Doc760,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc761,0.01,0.01,0.01,0.39,0.01,0.3,0.01,0.01,0.21,0.01,3
Doc762,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc763,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc764,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,0.18,0.01,7
Doc765,0.03,0.34,0.39,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc766,0.02,0.22,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.23,5
Doc767,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc768,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc769,0.01,0.01,0.01,0.01,0.01,0.45,0.46,0.01,0.01,0.01,6
Doc770,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc771,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc772,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc773,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc774,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc775,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc776,0.02,0.36,0.17,0.02,0.34,0.02,0.02,0.02,0.02,0.02,1
Doc777,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc778,0.03,0.03,0.03,0.52,0.03,0.27,0.03,0.03,0.03,0.03,3
